,0
AMBA - Ambarella Inc. Ordinary Shares,AMBA
AMBC - Ambac Financial Group Inc. Common Stock,AMBC
AMBI - Ambipar Emergency Response Class A Ordinary Shares,AMBI
AMBO - Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,AMBO
AMBP - Ardagh Metal Packaging S.A. Ordinary Shares,AMBP
AMC - AMC Entertainment Holdings Inc. Class A Common Stock,AMC
AMCR - Amcor plc Ordinary Shares,AMCR
AMCX - AMC Networks Inc. Class A Common Stock,AMCX
AMD - Advanced Micro Devices Inc. Common Stock,AMD
AME - AMETEK Inc.,AME
AMED - Amedisys Inc Common Stock,AMED
AMEH - Apollo Medical Holdings Inc. Common Stock,AMEH
AMG - Affiliated Managers Group Inc. Common Stock,AMG
AMGN - Amgen Inc. Common Stock,AMGN
AMH - American Homes 4 Rent Common Shares of Beneficial Interest,AMH
AMH^G - American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,AMH^G
AMH^H - American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,AMH^H
AMK - AssetMark Financial Holdings Inc. Common Stock,AMK
AMKR - Amkor Technology Inc. Common Stock,AMKR
AMLI - American Lithium Corp. Common Stock,AMLI
AMLX - Amylyx Pharmaceuticals Inc. Common Stock,AMLX
AMN - AMN Healthcare Services Inc AMN Healthcare Services Inc,AMN
AMNB - American National Bankshares Inc. Common Stock,AMNB
AMOT - Allied Motion Technologies Inc.,AMOT
AMP - Ameriprise Financial Inc. Common Stock,AMP
AMPE - Ampio Pharmaceuticals Inc.,AMPE
AMPG - Amplitech Group Inc. Common Stock,AMPG
AMPGW - Amplitech Group Inc. Warrants,AMPGW
AMPH - Amphastar Pharmaceuticals Inc. Common Stock,AMPH
AMPL - Amplitude Inc. Class A Common Stock,AMPL
AMPS - Altus Power Inc. Class A Common Stock,AMPS
AMPX - Amprius Technologies Inc. Common Stock,AMPX
AMPY - Amplify Energy Corp. Common Stock,AMPY
AMR - Alpha Metallurgical Resources Inc. Common Stock,AMR
AMRC - Ameresco Inc. Class A Common Stock,AMRC
AMRK - A-Mark Precious Metals Inc. Common Stock,AMRK
AMRN - Amarin Corporation plc,AMRN
AMRS - Amyris Inc. Common Stock,AMRS
AMRX - Amneal Pharmaceuticals Inc. Class A Common Stock,AMRX
AMS - American Shared Hospital Services Common Stock,AMS
AMSC - American Superconductor Corporation Common Stock,AMSC
AMSF - AMERISAFE Inc. Common Stock,AMSF
AMST - Amesite Inc. Common Stock,AMST
AMSWA - American Software Inc. Class A Common Stock,AMSWA
AMT - American Tower Corporation (REIT) Common Stock,AMT
AMTB - Amerant Bancorp Inc. Class A Common Stock,AMTB
AMTD - AMTD IDEA Group American Depositary Shares each representing two Class A Ordinary Shares,AMTD
AMTI - Applied Molecular Transport Inc. Common Stock,AMTI
AMTX - Aemetis Inc. (DE) Common Stock,AMTX
AMWD - American Woodmark Corporation Common Stock,AMWD
AMWL - American Well Corporation Class A Common Stock,AMWL
AMX - America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,AMX
AMZN - Amazon.com Inc. Common Stock,AMZN
AN - AutoNation Inc. Common Stock,AN
ANAB - AnaptysBio Inc. Common Stock,ANAB
ANDE - Andersons Inc. (The) Common Stock,ANDE
ANEB - Anebulo Pharmaceuticals Inc. Common Stock,ANEB
ANET - Arista Networks Inc. Common Stock,ANET
ANF - Abercrombie & Fitch Company Common Stock,ANF
ANGH - Anghami Inc. Ordinary Shares,ANGH
ANGHW - Anghami Inc. Warrants,ANGHW
ANGI - Angi Inc. Class A Common Stock,ANGI
ANGO - AngioDynamics Inc. Common Stock,ANGO
ANIK - Anika Therapeutics Inc. Common Stock,ANIK
ANIP - ANI Pharmaceuticals Inc.,ANIP
ANIX - Anixa Biosciences Inc. Common Stock,ANIX
ANNX - Annexon Inc. Common Stock,ANNX
